count,visualization,task,right answer,vis name,task,ans cnt,1,2,3,4
29,Scatterplot,6,2,85명의 남성의 키와 몸무게,85명의 남성의 키와 몸무게 사이에는 음의 선형 관계가 있다.,2,네,아니요,,
30,Scatterplot,7,2,85명의 남성의 키와 몸무게,키가 188cm인 남성의 몸무게는 모두 같습니다.,2,네,아니요,,
31,AreaChart,1,3,2019 - 2020년 평균 커피 원두 가격,2019년 9월 커피 원두의 평균 가격이 얼마인지 고르시오,4,4.9 (달러),5.0 (달러),5.1 (달러),5.2 (달러)
32,AreaChart,2,4,2019 - 2020년 평균 커피 원두 가격,커피 원두의 평균 가격이 최소일때가 언제인지 고르시오.,4,2019년 4월,2019년 9월,2020년 6월,2020년 12월
33,AreaChart,3,3,2019 - 2020년 평균 커피 원두 가격,2019년 1월부터 2020년 12월까지 커피 원두의 평균 가격 범위를 고르시오.,4,4.4 - 6.2 (달러),4.6 - 5.9 (달러),4.6 - 6.0 (달러),4.6 - 6.1 (달러)
34,AreaChart,4,2,2019 - 2020년 평균 커피 원두 가격,2019년 한 해 동안 커피 원두의 평균 가격은 ______ 있다.,3,상승하고,떨어지고,유지하고,
35,StackedAreaChart,1,3,한국에서 인기있는 여자 아이 이름,2016년에 ‘민지’의 이름을 가진 여성의 수를 고르시오.,4,1500 (명),3800 (명),4200 (명),8000 (명)
36,StackedAreaChart,1,1,한국에서 인기있는 여자 아이 이름,2020년에 ‘지현’의 이름을 가진 여성과 ‘서현’의 이름을 가진 여성의 비율을 고르시오.,4,1:01,1:02,1:03,1:04
37,StackedAreaChart,3,3,한국에서 인기있는 여자 아이 이름,2015년부터 2020년까지 ‘민지’의 이름을 가진 여성의 가장 많았던 해를 고르시오.,4,2016 (년),2017 (년),2018 (년),2020 (년)
38,StackedAreaChart,4,1,한국에서 인기있는 여자 아이 이름,‘서현’의 이름을 가진 여성은 2015년부터 2018년까지 _____ 있다.,3,늘어나고,줄어들고,유지되고,
39,StackedAreaChart,5,2,한국에서 인기있는 여자 아이 이름,2020년 ‘민지’의 이름을 가진 여성은 2019년보다 많다.,2,네,아니요,,
40,StackedAreaChart,6,2,한국에서 인기있는 여자 아이 이름,2015년부터 2020년까지 ‘서현’의 이름을 가진 여성은 ‘지현’의 이름을 가진 여성보다 항상 많았다.,2,네,아니요,,
41,BubbleChart,1,3,전 세계 지하철 시스템,베이징 지하철 시스템의 총 길이를 고르시오.,4,330 (km),400 (km),530 (km),560 (km)
42,BubbleChart,2,3,전 세계 지하철 시스템,가장 많은 역이 있는 도시의 지하철 시스템을 고르시오.,4,서울,베이징,뉴욕,상하이
43,BubbleChart,3,4,전 세계 지하철 시스템,전 세계 지하철의 총 길이의 범위를 고르시오.,4,150 - 600 (km),240 - 380 (km),240 - 560 (km),180 - 560 (km)
44,BubbleChart,4,2,전 세계 지하철 시스템,지하철 역의 수와 지하철 길이의 상관관계가 가장 다른 도시를 구하시오.,4,도쿄,뉴욕,베이징,런던
45,BubbleChart,5,2,전 세계 지하철 시스템,약 300개의 역과 200km의 길이를 가진 지하철 시스템이 존재한다.,2,네,아니요,,
46,BubbleChart,6,2,전 세계 지하철 시스템,일반적으로 역의 수가 증가함에 따라 지하철 시스템의 이용률도 증가한다,2,네,아니요,,
47,BubbleChart,7,1,전 세계 지하철 시스템,상하이의 지하철 시스템은 런던의 지하철 시스템보다 더 많은 승객을 보유하고 있다.,2,네,아니요,,
48,ChoroplethMap,1,3,2020년 시/도 실업률,2020년 경기도의 실업률을 고르시오.,4,2.5 - 3.0 (%),3.0 - 3.5 (%),4.0 - 4.5 (%),4.5 (%) 초과
49,ChoroplethMap,2,1,2020년 시/도 실업률,보기 중에서 2020년 실업률이 가장 높은 시도를 고르시오.,4,대구광역시,경상남도,경기도,충청남도
50,ChoroplethMap,3,2,2020년 시/도 실업률,2020년 경기도의 실업률은 서울특별시의 실업률보다 높다.,2,네,아니요,,
51,TreeMap,1,4,2010년 웹 사이트의 고유 방문자 수,2010년에 방문자 수가 가장 많은 웹사이트를 고르시오.,4,Facebook,Amazon,Bing,Google
52,TreeMap,2,2,2010년 웹 사이트의 고유 방문자 수,Amazon의 방문자 수는 2010년 야후보다 많다.,2,네,아니요,,
53,TreeMap,3,2,2010년 웹 사이트의 고유 방문자 수,Samsung은 금융 범주에 포함된다.,2,네,아니요,,
